campaign_id,campaign_name,campaign_type,channel,sub_channel,objective,funnel_stage,target_segment,target_industry,target_region,start_date,end_date,budget,currency,status,landing_page,utm_campaign,utm_source,utm_medium
CMP_00025,Enterprise Lifecycle Email 2025-02 Campaign,Email,Email,Lifecycle Email,Lead Generation,Awareness,Enterprise,Healthcare,Australia,2025-02-06,2025-04-08,13656.1,USD,Completed,/solutions/enterprise,cmp_00025,lifecycle_email,organic
CMP_00026,SMB Bing Ads 2025-04 Campaign,Paid Search,Paid Search,Bing Ads,Customer Acquisition,Consideration,SMB,Retail,Europe,2025-04-26,2025-08-08,10905.09,USD,Paused,/solutions/smb,cmp_00026,bing_ads,cpc
CMP_00027,SMB Direct 2026-04 Campaign,Direct,Direct,Direct,Brand Awareness,Consideration,SMB,Financial Services,Europe,2026-04-18,2026-06-11,23140.68,USD,Active,/solutions/smb,cmp_00027,direct,organic
CMP_00028,Mid-Market Lifecycle Email 2025-03 Campaign,Email,Email,Lifecycle Email,Retargeting,Conversion,Mid-Market,Healthcare,North America,2025-03-09,2025-05-10,30488.52,USD,Active,/solutions/mid_market,cmp_00028,lifecycle_email,organic
CMP_00029,Enterprise Lifecycle Email 2026-01 Campaign,Email,Email,Lifecycle Email,Retargeting,Conversion,Enterprise,Education,Australia,2026-01-06,2026-05-01,1168.67,USD,Active,/solutions/enterprise,cmp_00029,lifecycle_email,organic
CMP_00030,SMB Lifecycle Email 2026-03 Campaign,Email,Email,Lifecycle Email,Product Consideration,Conversion,SMB,Technology,North America,2026-03-24,2026-06-30,3472.54,USD,Completed,/solutions/smb,cmp_00030,lifecycle_email,organic
CMP_00031,Enterprise Customer Referral 2026-01 Campaign,Referral,Referral,Customer Referral,Customer Acquisition,Awareness,Enterprise,Manufacturing,North America,2026-01-08,2026-02-12,13006.93,USD,Paused,/solutions/enterprise,cmp_00031,customer_referral,organic
CMP_00032,SMB Lifecycle Email 2025-04 Campaign,Email,Email,Lifecycle Email,Retargeting,Conversion,SMB,Technology,Australia,2025-04-26,2025-07-27,7533.92,USD,Completed,/solutions/smb,cmp_00032,lifecycle_email,organic
CMP_00033,Mid-Market Bing Ads 2025-08 Campaign,Paid Search,Paid Search,Bing Ads,Product Consideration,Consideration,Mid-Market,Financial Services,Australia,2025-08-11,2025-11-02,23328.32,USD,Active,/solutions/mid_market,cmp_00033,bing_ads,cpc
CMP_00034,Enterprise Google Ads 2025-10 Campaign,Paid Search,Paid Search,Google Ads,Retargeting,Consideration,Enterprise,Professional Services,Europe,2025-10-26,2026-01-11,8530.14,USD,Paused,/solutions/enterprise,cmp_00034,google_ads,cpc
CMP_00035,Mid-Market Meta 2026-02 Campaign,Paid Social,Paid Social,Meta,Lead Generation,Awareness,Mid-Market,Retail,North America,2026-02-12,2026-03-26,6868.43,USD,Completed,/solutions/mid_market,cmp_00035,meta,paid_social
CMP_00036,Mid-Market Lifecycle Email 2026-04 Campaign,Email,Email,Lifecycle Email,Brand Awareness,Conversion,Mid-Market,Professional Services,Europe,2026-04-16,2026-05-30,4075.81,USD,Paused,/solutions/mid_market,cmp_00036,lifecycle_email,organic
CMP_00037,SMB Bing Ads 2025-03 Campaign,Paid Search,Paid Search,Bing Ads,Brand Awareness,Consideration,SMB,Education,North America,2025-03-04,2025-06-03,3317.21,USD,Active,/solutions/smb,cmp_00037,bing_ads,cpc
CMP_00038,Enterprise Customer Referral 2026-05 Campaign,Referral,Referral,Customer Referral,Customer Acquisition,Consideration,Enterprise,Manufacturing,Europe,2026-05-07,2026-06-10,5797.5,USD,Paused,/solutions/enterprise,cmp_00038,customer_referral,organic
CMP_00039,SMB SEO 2025-11 Campaign,Organic,Organic,SEO,Brand Awareness,Consideration,SMB,Education,Australia,2025-11-07,2026-01-15,4180.61,USD,Completed,/solutions/smb,cmp_00039,seo,organic
CMP_00040,Enterprise Meta 2026-04 Campaign,Paid Social,Paid Social,Meta,Lead Generation,Awareness,Enterprise,Technology,Europe,2026-04-19,2026-07-19,19004.54,USD,Completed,/solutions/enterprise,cmp_00040,meta,paid_social
CMP_00041,SMB Google Ads 2025-10 Campaign,Paid Search,Paid Search,Google Ads,Retargeting,Awareness,SMB,Technology,North America,2025-10-17,2026-01-02,11817.02,USD,Completed,/solutions/smb,cmp_00041,google_ads,cpc
CMP_00042,Mid-Market Partner 2026-03 Campaign,Referral,Referral,Partner,Product Consideration,Awareness,Mid-Market,Education,North America,2026-03-27,2026-07-10,42249.63,USD,Active,/solutions/mid_market,cmp_00042,partner,organic
CMP_00043,Enterprise Direct 2025-08 Campaign,Direct,Direct,Direct,Lead Generation,Consideration,Enterprise,Education,Europe,2025-08-08,2025-11-14,6390.76,USD,Completed,/solutions/enterprise,cmp_00043,direct,organic
CMP_00044,SMB LinkedIn 2025-12 Campaign,Paid Social,Paid Social,LinkedIn,Retargeting,Conversion,SMB,Financial Services,Europe,2025-12-07,2026-02-13,52680.77,USD,Completed,/solutions/smb,cmp_00044,linkedin,paid_social
CMP_00045,Enterprise Customer Referral 2025-10 Campaign,Referral,Referral,Customer Referral,Brand Awareness,Consideration,Enterprise,Healthcare,Europe,2025-10-17,2026-01-06,196228.16,USD,Active,/solutions/enterprise,cmp_00045,customer_referral,organic
CMP_00046,Enterprise Newsletter 2025-10 Campaign,Email,Email,Newsletter,Brand Awareness,Awareness,Enterprise,Retail,Australia,2025-10-07,2026-01-24,8814.59,USD,Completed,/solutions/enterprise,cmp_00046,newsletter,organic
CMP_00047,SMB SEO 2026-01 Campaign,Organic,Organic,SEO,Retargeting,Conversion,SMB,Healthcare,North America,2026-01-15,2026-03-18,25261.01,USD,Completed,/solutions/smb,cmp_00047,seo,organic
CMP_00048,SMB SEO 2025-02 Campaign,Organic,Organic,SEO,Customer Acquisition,Conversion,SMB,Education,Europe,2025-02-13,2025-04-12,12668.71,USD,Active,/solutions/smb,cmp_00048,seo,organic
CMP_00049,Enterprise SEO 2025-08 Campaign,Organic,Organic,SEO,Lead Generation,Consideration,Enterprise,Manufacturing,Europe,2025-08-30,2025-11-02,2630.81,USD,Paused,/solutions/enterprise,cmp_00049,seo,organic
CMP_00050,SMB Google Ads 2025-07 Campaign,Paid Search,Paid Search,Google Ads,Brand Awareness,Awareness,SMB,Healthcare,North America,2025-07-15,2025-10-10,29199.89,USD,Active,/solutions/smb,cmp_00050,google_ads,cpc
CMP_00051,Mid-Market Partner 2025-09 Campaign,Referral,Referral,Partner,Retargeting,Awareness,Mid-Market,Healthcare,North America,2025-09-06,2025-11-10,4379.78,USD,Active,/solutions/mid_market,cmp_00051,partner,organic
CMP_00052,SMB Direct 2025-08 Campaign,Direct,Direct,Direct,Retargeting,Conversion,SMB,Technology,Australia,2025-08-12,2025-10-17,11882.23,USD,Active,/solutions/smb,cmp_00052,direct,organic
CMP_00053,SMB Direct 2025-09 Campaign,Direct,Direct,Direct,Retargeting,Conversion,SMB,Healthcare,North America,2025-09-30,2025-12-30,5370.68,USD,Completed,/solutions/smb,cmp_00053,direct,organic
CMP_00054,SMB Lifecycle Email 2026-01 Campaign,Email,Email,Lifecycle Email,Retargeting,Conversion,SMB,Retail,North America,2026-01-02,2026-02-16,21677.36,USD,Paused,/solutions/smb,cmp_00054,lifecycle_email,organic
CMP_00055,SMB Customer Referral 2025-02 Campaign,Referral,Referral,Customer Referral,Retargeting,Awareness,SMB,Financial Services,Europe,2025-02-22,2025-04-15,8741.22,USD,Active,/solutions/smb,cmp_00055,customer_referral,organic
CMP_00056,Mid-Market SEO 2025-08 Campaign,Organic,Organic,SEO,Customer Acquisition,Awareness,Mid-Market,Financial Services,Europe,2025-08-03,2025-11-15,4116.83,USD,Active,/solutions/mid_market,cmp_00056,seo,organic
CMP_00057,SMB Customer Referral 2025-01 Campaign,Referral,Referral,Customer Referral,Brand Awareness,Awareness,SMB,Financial Services,Australia,2025-01-07,2025-03-23,5059.19,USD,Active,/solutions/smb,cmp_00057,customer_referral,organic
CMP_00058,SMB Direct 2025-12 Campaign,Direct,Direct,Direct,Lead Generation,Consideration,SMB,Retail,North America,2025-12-05,2026-01-11,10219.47,USD,Paused,/solutions/smb,cmp_00058,direct,organic
CMP_00059,Mid-Market Google Ads 2025-05 Campaign,Paid Search,Paid Search,Google Ads,Customer Acquisition,Conversion,Mid-Market,Healthcare,North America,2025-05-12,2025-07-16,35534.24,USD,Completed,/solutions/mid_market,cmp_00059,google_ads,cpc
CMP_00060,SMB Meta 2025-02 Campaign,Paid Social,Paid Social,Meta,Retargeting,Consideration,SMB,Retail,Europe,2025-02-08,2025-05-15,3362.81,USD,Completed,/solutions/smb,cmp_00060,meta,paid_social
CMP_00061,Enterprise Newsletter 2026-04 Campaign,Email,Email,Newsletter,Lead Generation,Conversion,Enterprise,Technology,Australia,2026-04-01,2026-06-30,13262.38,USD,Paused,/solutions/enterprise,cmp_00061,newsletter,organic
CMP_00062,SMB Lifecycle Email 2026-02 Campaign,Email,Email,Lifecycle Email,Retargeting,Consideration,SMB,Financial Services,North America,2026-02-13,2026-05-09,8856.2,USD,Active,/solutions/smb,cmp_00062,lifecycle_email,organic
CMP_00063,Mid-Market Partner 2025-05 Campaign,Referral,Referral,Partner,Retargeting,Conversion,Mid-Market,Retail,North America,2025-05-29,2025-09-15,18836.92,USD,Active,/solutions/mid_market,cmp_00063,partner,organic
CMP_00064,Mid-Market Meta 2025-08 Campaign,Paid Social,Paid Social,Meta,Lead Generation,Awareness,Mid-Market,Education,Europe,2025-08-21,2025-11-07,2789.67,USD,Paused,/solutions/mid_market,cmp_00064,meta,paid_social
CMP_00065,Mid-Market Google Ads 2025-01 Campaign,Paid Search,Paid Search,Google Ads,Customer Acquisition,Awareness,Mid-Market,Financial Services,Europe,2025-01-12,2025-04-25,2095.5,USD,Active,/solutions/mid_market,cmp_00065,google_ads,cpc
CMP_00066,Mid-Market Bing Ads 2025-07 Campaign,Paid Search,Paid Search,Bing Ads,Lead Generation,Awareness,Mid-Market,Technology,North America,2025-07-11,2025-09-05,4635.87,USD,Active,/solutions/mid_market,cmp_00066,bing_ads,cpc
CMP_00067,Mid-Market Newsletter 2026-02 Campaign,Email,Email,Newsletter,Product Consideration,Awareness,Mid-Market,Education,Europe,2026-02-17,2026-03-31,43681.72,USD,Active,/solutions/mid_market,cmp_00067,newsletter,organic
CMP_00068,Mid-Market LinkedIn 2025-11 Campaign,Paid Social,Paid Social,LinkedIn,Product Consideration,Awareness,Mid-Market,Manufacturing,Australia,2025-11-08,2026-01-06,1436.1,USD,Active,/solutions/mid_market,cmp_00068,linkedin,paid_social
CMP_00069,Enterprise Direct 2025-03 Campaign,Direct,Direct,Direct,Lead Generation,Conversion,Enterprise,Manufacturing,Europe,2025-03-06,2025-04-22,11394.91,USD,Paused,/solutions/enterprise,cmp_00069,direct,organic
CMP_00070,SMB Google Ads 2026-02 Campaign,Paid Search,Paid Search,Google Ads,Customer Acquisition,Awareness,SMB,Manufacturing,Australia,2026-02-21,2026-03-23,7432.27,USD,Active,/solutions/smb,cmp_00070,google_ads,cpc
CMP_00071,Enterprise Direct 2025-09 Campaign,Direct,Direct,Direct,Retargeting,Awareness,Enterprise,Manufacturing,Europe,2025-09-16,2025-12-07,5166.42,USD,Completed,/solutions/enterprise,cmp_00071,direct,organic
CMP_00072,SMB Bing Ads 2025-01 Campaign,Paid Search,Paid Search,Bing Ads,Retargeting,Consideration,SMB,Technology,North America,2025-01-01,2025-03-22,15106.04,USD,Completed,/solutions/smb,cmp_00072,bing_ads,cpc
CMP_00073,Mid-Market Lifecycle Email 2025-03 Campaign,Email,Email,Lifecycle Email,Brand Awareness,Consideration,Mid-Market,Education,Europe,2025-03-13,2025-05-20,4827.52,USD,Active,/solutions/mid_market,cmp_00073,lifecycle_email,organic
CMP_00074,Mid-Market Direct 2025-08 Campaign,Direct,Direct,Direct,Product Consideration,Awareness,Mid-Market,Technology,Australia,2025-08-24,2025-09-27,19787.89,USD,Paused,/solutions/mid_market,cmp_00074,direct,organic
CMP_00075,Enterprise Partner 2026-02 Campaign,Referral,Referral,Partner,Product Consideration,Conversion,Enterprise,Education,Europe,2026-02-02,2026-05-08,23351.69,USD,Completed,/solutions/enterprise,cmp_00075,partner,organic
CMP_00076,Mid-Market SEO 2026-03 Campaign,Organic,Organic,SEO,Customer Acquisition,Awareness,Mid-Market,Education,North America,2026-03-11,2026-06-11,1395.85,USD,Paused,/solutions/mid_market,cmp_00076,seo,organic
CMP_00077,SMB Newsletter 2025-09 Campaign,Email,Email,Newsletter,Retargeting,Awareness,SMB,Retail,Europe,2025-09-04,2025-11-23,7984.69,USD,Active,/solutions/smb,cmp_00077,newsletter,organic
CMP_00078,SMB LinkedIn 2025-02 Campaign,Paid Social,Paid Social,LinkedIn,Product Consideration,Conversion,SMB,Healthcare,Australia,2025-02-22,2025-05-28,17969.04,USD,Paused,/solutions/smb,cmp_00078,linkedin,paid_social
CMP_00079,Enterprise Google Ads 2025-07 Campaign,Paid Search,Paid Search,Google Ads,Product Consideration,Consideration,Enterprise,Retail,North America,2025-07-02,2025-10-19,7610.78,USD,Active,/solutions/enterprise,cmp_00079,google_ads,cpc
CMP_00080,Enterprise Meta 2025-05 Campaign,Paid Social,Paid Social,Meta,Retargeting,Awareness,Enterprise,Financial Services,Europe,2025-05-02,2025-07-21,21060.24,USD,Active,/solutions/enterprise,cmp_00080,meta,paid_social
CMP_00081,SMB Direct 2026-02 Campaign,Direct,Direct,Direct,Retargeting,Awareness,SMB,Retail,Europe,2026-02-09,2026-05-19,2395.89,USD,Completed,/solutions/smb,cmp_00081,direct,organic
CMP_00082,Enterprise Google Ads 2025-05 Campaign,Paid Search,Paid Search,Google Ads,Product Consideration,Conversion,Enterprise,Manufacturing,North America,2025-05-01,2025-08-24,2539.38,USD,Completed,/solutions/enterprise,cmp_00082,google_ads,cpc
CMP_00083,Enterprise Lifecycle Email 2025-01 Campaign,Email,Email,Lifecycle Email,Brand Awareness,Conversion,Enterprise,Education,Europe,2025-01-08,2025-03-30,18984.95,USD,Paused,/solutions/enterprise,cmp_00083,lifecycle_email,organic
CMP_00084,Mid-Market Direct 2025-12 Campaign,Direct,Direct,Direct,Product Consideration,Conversion,Mid-Market,Professional Services,North America,2025-12-29,2026-02-14,3017.14,USD,Paused,/solutions/mid_market,cmp_00084,direct,organic
CMP_00085,SMB Customer Referral 2025-07 Campaign,Referral,Referral,Customer Referral,Lead Generation,Conversion,SMB,Education,Europe,2025-07-21,2025-09-27,1701.89,USD,Active,/solutions/smb,cmp_00085,customer_referral,organic
CMP_00086,Enterprise Lifecycle Email 2025-03 Campaign,Email,Email,Lifecycle Email,Lead Generation,Awareness,Enterprise,Financial Services,Australia,2025-03-09,2025-04-17,9963.56,USD,Paused,/solutions/enterprise,cmp_00086,lifecycle_email,organic
CMP_00087,SMB Direct 2025-02 Campaign,Direct,Direct,Direct,Customer Acquisition,Conversion,SMB,Financial Services,North America,2025-02-03,2025-03-12,16505.59,USD,Completed,/solutions/smb,cmp_00087,direct,organic
CMP_00088,SMB SEO 2026-03 Campaign,Organic,Organic,SEO,Retargeting,Awareness,SMB,Technology,North America,2026-03-16,2026-06-12,6067.02,USD,Completed,/solutions/smb,cmp_00088,seo,organic
CMP_00089,Mid-Market Customer Referral 2025-03 Campaign,Referral,Referral,Customer Referral,Product Consideration,Consideration,Mid-Market,Education,Europe,2025-03-11,2025-04-13,8505.95,USD,Active,/solutions/mid_market,cmp_00089,customer_referral,organic
CMP_00090,Mid-Market Newsletter 2025-08 Campaign,Email,Email,Newsletter,Customer Acquisition,Conversion,Mid-Market,Retail,Australia,2025-08-11,2025-09-15,3529.99,USD,Completed,/solutions/mid_market,cmp_00090,newsletter,organic
CMP_00091,Mid-Market Direct 2026-01 Campaign,Direct,Direct,Direct,Lead Generation,Consideration,Mid-Market,Professional Services,Australia,2026-01-04,2026-03-25,1526.29,USD,Active,/solutions/mid_market,cmp_00091,direct,organic
CMP_00092,Enterprise Direct 2026-02 Campaign,Direct,Direct,Direct,Customer Acquisition,Awareness,Enterprise,Retail,North America,2026-02-14,2026-05-22,13951.75,USD,Paused,/solutions/enterprise,cmp_00092,direct,organic
CMP_00093,Mid-Market Bing Ads 2025-05 Campaign,Paid Search,Paid Search,Bing Ads,Retargeting,Consideration,Mid-Market,Healthcare,Australia,2025-05-22,2025-08-23,131108.1,USD,Active,/solutions/mid_market,cmp_00093,bing_ads,cpc
CMP_00094,SMB Direct 2025-06 Campaign,Direct,Direct,Direct,Brand Awareness,Consideration,SMB,Manufacturing,Europe,2025-06-27,2025-08-05,1618.08,USD,Active,/solutions/smb,cmp_00094,direct,organic
CMP_00095,Enterprise Partner 2025-09 Campaign,Referral,Referral,Partner,Product Consideration,Consideration,Enterprise,Professional Services,North America,2025-09-30,2025-11-07,12727.44,USD,Completed,/solutions/enterprise,cmp_00095,partner,organic
CMP_00096,SMB Direct 2026-01 Campaign,Direct,Direct,Direct,Brand Awareness,Conversion,SMB,Healthcare,North America,2026-01-08,2026-04-22,15425.89,USD,Completed,/solutions/smb,cmp_00096,direct,organic
CMP_00097,Enterprise Newsletter 2025-12 Campaign,Email,Email,Newsletter,Lead Generation,Awareness,Enterprise,Education,Europe,2025-12-15,2026-03-26,5206.0,USD,Paused,/solutions/enterprise,cmp_00097,newsletter,organic
CMP_00098,Mid-Market SEO 2025-03 Campaign,Organic,Organic,SEO,Customer Acquisition,Awareness,Mid-Market,Manufacturing,Europe,2025-03-19,2025-05-13,12819.34,USD,Active,/solutions/mid_market,cmp_00098,seo,organic
CMP_00099,Mid-Market LinkedIn 2025-11 Campaign,Paid Social,Paid Social,LinkedIn,Product Consideration,Awareness,Mid-Market,Education,North America,2025-11-24,2026-01-31,8253.71,USD,Active,/solutions/mid_market,cmp_00099,linkedin,paid_social
CMP_00100,Mid-Market Google Ads 2026-05 Campaign,Paid Search,Paid Search,Google Ads,Retargeting,Conversion,Mid-Market,Professional Services,Australia,2026-05-10,2026-08-13,43322.93,USD,Completed,/solutions/mid_market,cmp_00100,google_ads,cpc
